Key,Item Type,Publication Year,Author,Title,Journal Title,Date,Published,Paper_Type,Data_Present,Interoperable,MetaDigitise_Use?,No_Effects/Studies,No_Total,Prop_Extract,Figures_Present?,Caldat?,Location_Given,Notes
LKZ4FH6P,journalArticle,2021,"Anwer, Hamza; Morris, Margaret J; Noble, Daniel WA; Nakagawa, Shinichi; Lagisz, Malgorzata",Transgenerational effects of obesogenic diets in rodents: A meta-analysis,Obesity Reviews,2021,Published,Meta-analysis,No,NA,Figures,No,NA,NA,No,No,No,
A6ZYPBGN,journalArticle,2021,"Buley, Riley P; Correia, Hannah E; Abebe, Ash; Issa, Tahir B; Wilson, Alan E",Predicting microcystin occurrence in freshwater lakes and reservoirs: assessing environmental variables,Inland Waters,2021,Published,Meta-analysis,No,No,Figures,No,NA,NA,No,No,No,
JJS2SPQV,journalArticle,2022,"Buley, Riley P; Gladfelter, Matthew F; Fernandez-Figueroa, Edna G; Wilson, Alan E",Can correlational analyses help determine the drivers of microcystin occurrence in freshwater ecosystems? A meta-analysis of microcystin and associated water quality parameters,Environmental Monitoring and Assessment,2022,Published,Meta-analysis,No,No,Figures,No,NA,NA,No,No,No,
S83LFCDZ,journalArticle,2021,"Chen, Hengying; Zhang, Jiaying; Lai, Jiayu; Zhou, Yingyu; Lin, Xiaoping; Deng, Guifang; Zhang, Zheqing; Li, Liping",Circulating retinol binding protein 4 levels in coronary artery disease: a systematic review and meta-analysis,Lipids in health and disease,2021,Published,Meta-analysis,No,No,Figures,No,NA,NA,No,No,No,
RXEZ6J94,journalArticle,2020,"Defolie, Charlotte; Merkling, Thomas; Fichtel, Claudia",Patterns and variation in the mammal parasiteñglucocorticoid relationship,Biological Reviews,2020,Published,Meta-analysis,No,No,Figures,No,110,NA,No,No,No,
LY3YXMA3,journalArticle,2021,"Hayward, Adam D; Skuce, Philip J; McNeilly, Tom N",The influence of liver fluke infection on production in sheep and cattle: a meta-analysis,International Journal for Parasitology,2021,Published,Meta-analysis,No,No,Figures,No,NA,NA,No,No,No,
FRVZX25X,bookSection,2021,"Lawson, Shelby L; Enos, Janice K; Antonson, Nicholas D; Gill, Sharon A; Hauber, Mark E",Do hosts of avian brood parasites discriminate parasitic vs. predatory threats? A meta-analysis,Advances in the Study of Behavior,2021,Published,Meta-analysis,No,No,Figures,No,NA,NA,No,No,No,
9M5JW5QZ,journalArticle,2021,"Murphy, Jillian M; Bennett, Joanne M; de la Piedad Garcia, Xochitl; Willis, Megan L",Emotion recognition and traumatic brain injury: a systematic review and meta-analysis,Neuropsychology review,2021,Published,Meta-analysis,No,No,Figures,1,15,6.67,No,No,No,
DTFATNFZ,journalArticle,2021,"Bolzan, Juliana; de Oliveira, Cilene Lino",A compact guide to the systematic review and meta-analysis of the literature in neuroscience,Journal for Reproducibility in Neuroscience,2021,Published,Guidelines,NA,NA,NA,NA,NA,NA,NA,NA,NA,
XRE3LCE4,journalArticle,2022,"Santana, Manuela S; de Melo, Gabriel Domingues; Sandrini-Neto, Leonardo; Di Domenico, Maikon; Prodocimo, Maritana Mela",A meta-analytic review of fish antioxidant defense and biotransformation systems following pesticide exposure,Chemosphere,2022,Published,Meta-analysis,No,No,Figures,No,NA,NA,No,No,No,
ZJKQYKKA,journalArticle,2022,"Schofield, Timothy P; Suomi, Aino; Butterworth, Peter",Is the stereotype of welfare recipients associated with type of welfare state regime? A cross&#8208;national meta-regression of the stereotype content model,Journal of Applied Social Psychology,2022,Published,Meta-analysis,No,No,Figures,6,17,35.29,No,No,No,
HCQX2ZLR,journalArticle,2021,"Sumner, Emma; Venn, Susanna",Plant Responses to Changing Water Supply and Availability in High Elevation Ecosystems: A Quantitative Systematic Review and Meta-Analysis,Land,2021,Published,Meta-analysis,No,No,Figures,No,NA,NA,No,No,No,
SAFDEIW8,journalArticle,2021,"Chuah, Yeong",Protocol for a Preclinical Systematic Review and Meta-Analysis of Pharmacological Targeting of Peroxisome Proliferator-Activated Receptors in Experimental Renal Injury,BMJ Open Science,2021,Published,PreReg,NA,NA,NA,NA,NA,NA,NA,NA,NA,
